NAME,CATEGORY,SUBCAT,NAME_CLEAN
SKILLSFUTURE SINGAPORE (SSG),STATUTORY_BOARDS,STATUTORY_BOARDS,skillsfuture singapore
SPORT SINGAPORE (SportSG),STATUTORY_BOARDS,STATUTORY_BOARDS,sport singapore
TEMASEK POLYTECHNIC (TP),STATUTORY_BOARDS,STATUTORY_BOARDS,temasek polytechnic
TOTE BOARD (TOTE BOARD),STATUTORY_BOARDS,STATUTORY_BOARDS,tote board
TRADITIONAL CHINESE MEDICINE PRACTITIONERS BOARD (TCMPB),STATUTORY_BOARDS,STATUTORY_BOARDS,traditional chinese medicine practitioners board
URBAN REDEVELOPMENT AUTHORITY (URA),STATUTORY_BOARDS,STATUTORY_BOARDS,urban redevelopment authority
WORKFORCE SINGAPORE (WSG),STATUTORY_BOARDS,STATUTORY_BOARDS,workforce singapore
YELLOW RIBBON SINGAPORE (YRSG),STATUTORY_BOARDS,STATUTORY_BOARDS,yellow ribbon singapore
ATTORNEY-GENERAL'S CHAMBERS (AGC),ORGANS_OF_STATE,ORGANS_OF_STATE,attorneygenerals chambers
AUDITOR-GENERAL'S OFFICE (AGO),ORGANS_OF_STATE,ORGANS_OF_STATE,auditorgenerals office
INDUSTRIAL ARBITRATION COURT (IAC),ORGANS_OF_STATE,ORGANS_OF_STATE,industrial arbitration court
ISTANA (ISTANA),ORGANS_OF_STATE,ORGANS_OF_STATE,istana
"JUDICIARY, FAMILY JUSTICE COURTS (FJCOURTS)",ORGANS_OF_STATE,ORGANS_OF_STATE,judiciary family justice courts
"JUDICIARY, STATE COURTS (STATE COURTS)",ORGANS_OF_STATE,ORGANS_OF_STATE,judiciary state courts
"JUDICIARY, SUPREME COURT (SUPCOURT)",ORGANS_OF_STATE,ORGANS_OF_STATE,judiciary supreme court
PARLIAMENT OF SINGAPORE (PARL),ORGANS_OF_STATE,ORGANS_OF_STATE,parliament of singapore
PUBLIC SERVICE COMMISSION (PSC),ORGANS_OF_STATE,ORGANS_OF_STATE,public service commission
THE CABINET (CAB),ORGANS_OF_STATE,ORGANS_OF_STATE,the cabinet
Applied Research,OTHER_ORG,Autonomous Universities,applied research
NANYANG TECHNOLOGICAL UNIVERSITY SINGAPORE,OTHER_ORG,Autonomous Universities,nanyang technological university singapore
NATIONAL UNIVERSITY OF SINGAPORE,OTHER_ORG,Autonomous Universities,national university of singapore
SINGAPORE INSTITUTE OF TECHNOLOGY,OTHER_ORG,Autonomous Universities,singapore institute of technology
SINGAPORE MANAGEMENT UNIVERSITY,OTHER_ORG,Autonomous Universities,singapore management university
SINGAPORE UNIVERSITY OF SOCIAL SCIENCES,OTHER_ORG,Autonomous Universities,singapore university of social sciences
SINGAPORE UNIVERSITY OF TECHNOLOGY AND DESIGN,OTHER_ORG,Autonomous Universities,singapore university of technology and design
ACE The Place<br>Our Community Club @ Admiralty,OTHER_ORG,Community Centres,ace the placebrour community club  admiralty
Aljunied Community Centre,OTHER_ORG,Community Centres,aljunied community centre
Anchorvale Community Club,OTHER_ORG,Community Centres,anchorvale community club
Ang Mo Kio Community Centre,OTHER_ORG,Community Centres,ang mo kio community centre
Ayer Rajah Community Centre,OTHER_ORG,Community Centres,ayer rajah community centre
Bedok Community Centre,OTHER_ORG,Community Centres,bedok community centre
Bishan Community Club,OTHER_ORG,Community Centres,bishan community club
Bishan North Community Centre,OTHER_ORG,Community Centres,bishan north community centre
Boon Lay Community Centre,OTHER_ORG,Community Centres,boon lay community centre
Braddell Heights Community Club,OTHER_ORG,Community Centres,braddell heights community club
Bukit Batok Community Club,OTHER_ORG,Community Centres,bukit batok community club
Bukit Batok East Community Club,OTHER_ORG,Community Centres,bukit batok east community club
Bukit Merah Community Centre,OTHER_ORG,Community Centres,bukit merah community centre
Bukit Panjang Community Club,OTHER_ORG,Community Centres,bukit panjang community club
Bukit Timah Community Club,OTHER_ORG,Community Centres,bukit timah community club
Buona Vista Community Club,OTHER_ORG,Community Centres,buona vista community club
Cairnhill Community Club,OTHER_ORG,Community Centres,cairnhill community club
Canberra Community Club,OTHER_ORG,Community Centres,canberra community club
Changi Simei Community Club,OTHER_ORG,Community Centres,changi simei community club
Cheng San Community Club,OTHER_ORG,Community Centres,cheng san community club
Chong Pang Community Club,OTHER_ORG,Community Centres,chong pang community club
Chua Chu Kang Community Club,OTHER_ORG,Community Centres,chua chu kang community club
Ci Yuan Community Club,OTHER_ORG,Community Centres,ci yuan community club
Clementi Community Centre,OTHER_ORG,Community Centres,clementi community centre
Dover Community Centre,OTHER_ORG,Community Centres,dover community centre
Eunos Community Club,OTHER_ORG,Community Centres,eunos community club
Fengshan Community Club,OTHER_ORG,Community Centres,fengshan community club
Fuchun Community Club,OTHER_ORG,Community Centres,fuchun community club
Gek Poh Ville Community Club,OTHER_ORG,Community Centres,gek poh ville community club
Geylang Serai Community Club,OTHER_ORG,Community Centres,geylang serai community club
Geylang West Community Club,OTHER_ORG,Community Centres,geylang west community club
Henderson Community Club,OTHER_ORG,Community Centres,henderson community club
Hillview Community Club,OTHER_ORG,Community Centres,hillview community club
Hong Kah North Community Club,OTHER_ORG,Community Centres,hong kah north community club
Hougang Community Club,OTHER_ORG,Community Centres,hougang community club
Hwi Yoh Community Centre,OTHER_ORG,Community Centres,hwi yoh community centre
Jalan Besar Community Club,OTHER_ORG,Community Centres,jalan besar community club
Joo Chiat Community Club,OTHER_ORG,Community Centres,joo chiat community club
